Value,SpeciesID,StateClassID
59,American toad,Agriculture:All
44,Short-tailed Shrew,Agriculture:All
52,Pileated Woodpecker,Agriculture:All
44,Snowshoe Hare,Agriculture:All
44,American Marten,Agriculture:All
47,White-tailed  Deer,Agriculture:All
44,White-footed Mouse,Agriculture:All
44,Red Backed Salamander,Agriculture:All
40,Wood Frog,Agriculture:All
52,American Woodcock,Agriculture:All
44,Ovenbird,Agriculture:All
44,Red-breasted Nuthatch,Agriculture:All
52,Barred Owl,Agriculture:All
50,Black Bear,Agriculture:All
60,American toad,Forest:Coniferous Medium
32,Short-tailed Shrew,Forest:Coniferous Medium
48,Pileated Woodpecker,Forest:Coniferous Medium
60,Snowshoe Hare,Forest:Coniferous Medium
100,American Marten,Forest:Coniferous Medium
80,White-tailed  Deer,Forest:Coniferous Medium
40,White-footed Mouse,Forest:Coniferous Medium
40,Red Backed Salamander,Forest:Coniferous Medium
100,Wood Frog,Forest:Coniferous Medium
30,American Woodcock,Forest:Coniferous Medium
16,Ovenbird,Forest:Coniferous Medium
80,Red-breasted Nuthatch,Forest:Coniferous Medium
27,Barred Owl,Forest:Coniferous Medium
60,Black Bear,Forest:Coniferous Medium
60,American toad,Forest:Coniferous Old
40,Short-tailed Shrew,Forest:Coniferous Old
60,Pileated Woodpecker,Forest:Coniferous Old
60,Snowshoe Hare,Forest:Coniferous Old
100,American Marten,Forest:Coniferous Old
80,White-tailed  Deer,Forest:Coniferous Old
40,White-footed Mouse,Forest:Coniferous Old
40,Red Backed Salamander,Forest:Coniferous Old
100,Wood Frog,Forest:Coniferous Old
30,American Woodcock,Forest:Coniferous Old
20,Ovenbird,Forest:Coniferous Old
100,Red-breasted Nuthatch,Forest:Coniferous Old
45,Barred Owl,Forest:Coniferous Old
60,Black Bear,Forest:Coniferous Old
60,American toad,Forest:Coniferous Young
16,Short-tailed Shrew,Forest:Coniferous Young
36,Pileated Woodpecker,Forest:Coniferous Young
60,Snowshoe Hare,Forest:Coniferous Young
50,American Marten,Forest:Coniferous Young
80,White-tailed  Deer,Forest:Coniferous Young
40,White-footed Mouse,Forest:Coniferous Young
40,Red Backed Salamander,Forest:Coniferous Young
100,Wood Frog,Forest:Coniferous Young
30,American Woodcock,Forest:Coniferous Young
16,Ovenbird,Forest:Coniferous Young
60,Red-breasted Nuthatch,Forest:Coniferous Young
18,Barred Owl,Forest:Coniferous Young
60,Black Bear,Forest:Coniferous Young
100,American toad,Forest:Deciduous Medium
80,Short-tailed Shrew,Forest:Deciduous Medium
80,Pileated Woodpecker,Forest:Deciduous Medium
30,Snowshoe Hare,Forest:Deciduous Medium
35,American Marten,Forest:Deciduous Medium
30,White-tailed  Deer,Forest:Deciduous Medium
100,White-footed Mouse,Forest:Deciduous Medium
100,Red Backed Salamander,Forest:Deciduous Medium
100,Wood Frog,Forest:Deciduous Medium
100,American Woodcock,Forest:Deciduous Medium
80,Ovenbird,Forest:Deciduous Medium
16,Red-breasted Nuthatch,Forest:Deciduous Medium
60,Barred Owl,Forest:Deciduous Medium
100,Black Bear,Forest:Deciduous Medium
100,American toad,Forest:Deciduous Old
100,Short-tailed Shrew,Forest:Deciduous Old
100,Pileated Woodpecker,Forest:Deciduous Old
30,Snowshoe Hare,Forest:Deciduous Old
35,American Marten,Forest:Deciduous Old
30,White-tailed  Deer,Forest:Deciduous Old
100,White-footed Mouse,Forest:Deciduous Old
100,Red Backed Salamander,Forest:Deciduous Old
100,Wood Frog,Forest:Deciduous Old
100,American Woodcock,Forest:Deciduous Old
100,Ovenbird,Forest:Deciduous Old
20,Red-breasted Nuthatch,Forest:Deciduous Old
100,Barred Owl,Forest:Deciduous Old
100,Black Bear,Forest:Deciduous Old
100,American toad,Forest:Deciduous Young
40,Short-tailed Shrew,Forest:Deciduous Young
60,Pileated Woodpecker,Forest:Deciduous Young
30,Snowshoe Hare,Forest:Deciduous Young
18,American Marten,Forest:Deciduous Young
30,White-tailed  Deer,Forest:Deciduous Young
100,White-footed Mouse,Forest:Deciduous Young
100,Red Backed Salamander,Forest:Deciduous Young
100,Wood Frog,Forest:Deciduous Young
100,American Woodcock,Forest:Deciduous Young
80,Ovenbird,Forest:Deciduous Young
12,Red-breasted Nuthatch,Forest:Deciduous Young
40,Barred Owl,Forest:Deciduous Young
100,Black Bear,Forest:Deciduous Young
