Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,TSTGroupID,TSTMin,TSTMax,TransitionGroupID,TransitionMultiplierTypeID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2010,,,18,,,,,,,Forest:Coniferous Medium->Forest:Coniferous Old [Type],,0.0015,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Medium->Forest:Coniferous Young [Type],,0.0113,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Medium->Forest:Deciduous Medium [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Medium->Forest:Deciduous Old [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Medium->Forest:Deciduous Young [Type],,0.0001,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Medium->Forest:Mixed Medium [Type],,0.0121,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Medium->Forest:Mixed Old [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Medium->Forest:Mixed Young [Type],,0.0148,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Old->Forest:Coniferous Medium [Type],,0.0228,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Old->Forest:Coniferous Young [Type],,0.0022,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Old->Forest:Deciduous Medium [Type],,0.0001,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Old->Forest:Deciduous Old [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Old->Forest:Deciduous Young [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Old->Forest:Mixed Medium [Type],,0.0225,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Old->Forest:Mixed Old [Type],,0.0005,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Old->Forest:Mixed Young [Type],,0.0072,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Young->Forest:Coniferous Medium [Type],,0.0001,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Young->Forest:Coniferous Old [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Young->Forest:Deciduous Medium [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Young->Forest:Deciduous Old [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Young->Forest:Deciduous Young [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Young->Forest:Mixed Medium [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Young->Forest:Mixed Old [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Coniferous Young->Forest:Mixed Young [Type],,0.0947,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Medium->Forest:Coniferous Medium [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Medium->Forest:Coniferous Old [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Medium->Forest:Coniferous Young [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Medium->Forest:Deciduous Old [Type],,0.0007,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Medium->Forest:Deciduous Young [Type],,0.0049,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Medium->Forest:Mixed Medium [Type],,0.0012,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Medium->Forest:Mixed Old [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Medium->Forest:Mixed Young [Type],,0.0002,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Old->Forest:Coniferous Medium [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Old->Forest:Coniferous Old [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Old->Forest:Coniferous Young [Type],,0.0000,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Old->Forest:Deciduous Medium [Type],,0.0466,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Old->Forest:Deciduous Young [Type],,0.0116,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Old->Forest:Mixed Medium [Type],,0.0011,,,,,
,2010,,,18,,,,,,,Forest:Deciduous Old->Forest:Mixed Old [Type],,0.0000,,,,,
